iter	MAE
0	5936140.679
1	5793989.969
2	5666478.073
3	5541012.928
4	5425312.197
5	5322047.462
6	5223362.182
7	5118953.813
8	5037024.769
9	4954771.698
10	4864365.498
11	4787465.087
12	4720521.944
13	4655811.821
14	4595148.212
15	4534215.798
16	4473728.452
17	4425995.139
18	4374540.539
19	4315905.954
20	4269934.318
21	4227627.319
22	4165874.948
23	4130661.512
24	4089227.826
25	4008861.777
26	3960007.189
27	3916594.659
28	3868247.785
29	3844963.536
30	3825617.166
31	3784302.15
32	3741996.907
33	3724370.7
34	3699295.488
35	3684982.511
36	3670288.746
37	3635817.364
38	3609441.838
39	3597222.002
40	3585571.835
41	3551695.411
42	3523540.063
43	3503818.899
44	3453252.747
45	3405818.498
46	3384182.793
47	3340559.802
48	3318084.639
49	3277762.069
50	3271552.249
51	3235289.284
52	3222577.854
53	3206360.661
54	3173545.12
55	3143391.934
56	3122803.118
57	3119458.104
58	3097798.078
59	3072277.514
60	3050165.956
61	3042978.531
62	3028280.255
63	3004700.395
64	2985135.402
65	2980630.404
66	2960856.405
67	2958771.155
68	2943225.843
69	2927936.273
70	2922617.808
71	2908921.589
72	2896178.717
73	2889886.054
74	2879679.53
75	2869970.018
76	2861499.669
77	2859888.477
78	2850251.599
79	2846166.236
80	2844259.654
81	2832466.244
82	2824720.602
83	2822813.46
84	2817305.769
85	2814496.24
86	2813788.55
87	2812881.233
88	2805349.772
89	2799499.421
90	2794517.834
91	2789994.137
92	2784989.729
93	2783570.86
94	2781587.739
95	2776158.758
96	2774932.715
97	2770077.025
98	2769740.996
99	2769029.077
100	2767366.481
101	2757388.859
102	2754711.467
103	2749711.914
104	2742698.418
105	2742034.225
106	2741132.275
107	2740320.886
108	2735573.05
109	2735209.37
110	2732607.265
111	2732065.689
112	2731807.591
113	2730129.264
114	2727016.945
115	2721241.196
116	2715390.382
117	2713617.778
118	2710217.415
119	2709942.918
120	2706550.496
121	2704851.361
122	2703123.01
123	2699344.307
124	2699044.667
125	2696747.015
126	2691587.751
127	2690878.876
128	2690416.106
129	2684828.581
130	2684614.533
131	2679237.445
132	2678437.386
133	2678126.038
134	2673060.881
135	2670732.537
136	2667223.088
137	2667063.012
138	2663626.876
139	2663286.825
140	2659021.764
141	2657403.348
142	2651479.292
143	2651092.133
144	2650094.294
145	2649175.046
146	2645974.519
147	2645782.097
148	2645504.426
149	2644821.36
150	2640967.624
151	2639108.925
152	2635081.413
153	2634171.79
154	2631605.017
155	2631050.4
156	2627619.661
157	2624813.012
158	2620495.775
159	2617326.141
160	2614266.765
161	2614002.912
162	2613443.714
163	2612634.154
164	2612406.264
165	2611150.587
166	2610622.074
167	2607218.197
168	2603828.842
169	2602465.571
170	2602145.716
171	2601436.046
172	2600625.712
173	2597175.959
174	2596888.89
175	2596392.341
176	2595402.053
177	2594246.843
178	2593726.42
179	2593026.076
180	2592125.659
181	2590724.357
182	2590449.248
183	2588340.02
184	2582703.367
185	2581841.865
186	2581093.122
187	2580273.385
188	2580093.952
189	2577764.959
190	2577600.686
191	2576985.066
192	2576833.649
193	2574630.777
194	2573691.694
195	2573141.998
196	2572574.957
197	2571735.67
198	2571388.965
199	2571177.261
200	2570291.144
201	2570091.105
202	2566303.506
203	2565913.367
204	2565544.887
205	2562950.5
206	2562644.702
207	2561275.062
208	2560992.473
209	2559739.905
210	2559594.375
211	2559209.058
212	2558982.368
213	2558561.928
214	2555178.298
215	2554066.009
216	2553862.483
217	2553620.19
218	2552783.774
219	2552624.567
220	2552246.437
221	2551933.155
222	2551434.188
223	2551048.957
224	2550782.911
225	2550226.522
226	2550007.498
227	2548472.926
228	2548001.865
229	2547723.863
230	2546950.752
231	2546281.625
232	2546077.038
233	2542632.285
234	2542210.468
235	2542087.678
236	2541973.188
237	2541382.212
238	2541266.864
239	2540430.311
240	2540213.817
241	2540057.18
242	2539910.839
243	2539284.148
244	2538477.601
245	2538257.55
246	2536694.097
247	2536343.573
248	2536043.033
249	2535828.901
250	2535196.441
251	2535014.708
252	2534677.56
253	2534522.594
254	2533714.435
255	2533551.688
256	2533145.824
257	2532053.127
258	2531919.029
259	2531713.956
260	2531391.678
261	2527457.256
262	2527190.802
263	2526906.31
264	2526718.444
265	2526573.696
266	2526068.668
267	2525828.747
268	2522707.671
269	2522585.363
270	2522211.507
271	2522066.208
272	2518281.019
273	2516748.203
274	2516173.627
275	2515765.92
276	2515062.205
277	2510919.813
278	2510664.138
279	2510393.705
280	2509271.606
281	2509065.222
282	2508124.52
283	2507941.387
284	2507759.502
285	2507215.641
286	2507063.403
287	2506835.164
288	2506468.089
289	2502190.892
290	2501963.32
291	2501798.813
292	2501575.9
293	2498439.089
294	2495874.007
295	2494522.297
296	2492422.807
297	2492314.723
298	2491426.031
299	2491258.836
300	2491176.211
301	2491031.419
302	2490735.997
303	2490530.582
304	2488661.151
305	2488433.698
306	2488246.838
307	2487990.036
308	2484984.896
309	2484783.59
310	2484548.546
311	2484220.217
312	2483899.486
313	2483743.038
314	2482379.593
315	2479000.183
316	2478594.36
317	2478352.96
318	2478076.196
319	2477761.315
320	2477391.382
321	2477247.681
322	2477177.368
323	2476233.513
324	2476052.235
325	2475633.216
326	2475290.229
327	2475085.322
328	2474227.916
329	2474110.276
330	2473156.49
331	2473063.596
332	2472468.294
333	2472304.935
334	2472091.033
335	2471855.548
336	2471710.818
337	2471200.329
338	2469728.119
339	2467571.188
340	2467431.966
341	2467245.985
342	2466956.117
343	2466812.367
344	2466621.123
345	2464775.197
346	2464551.853
347	2462784.745
348	2460641.562
349	2460120.958
350	2459911.104
351	2459453.251
352	2459186.481
353	2459008.306
354	2458388.213
355	2458249.861
356	2458198.68
357	2458053.809
358	2455857.751
359	2455368.502
360	2455119.157
361	2455049.013
362	2454653.24
363	2454581.104
364	2453196.062
365	2453136.396
366	2452415.25
367	2451959.255
368	2451648.841
369	2449613.677
370	2449410.258
371	2449176.001
372	2449121.395
373	2449045.582
374	2448273.792
375	2447960.744
376	2447543.142
377	2447040.532
378	2446939.496
379	2446890.196
380	2446827.457
381	2446408.887
382	2446238.91
383	2444699.632
384	2443543.275
385	2443313.3
386	2443212.565
387	2443060.138
388	2442774.332
389	2442005.354
390	2441752.914
391	2441704.187
392	2441319.917
393	2441188.351
394	2441012.876
395	2440896.939
396	2440769.078
397	2440678.172
398	2439987.58
399	2439936.483
400	2439762.084
401	2439710.299
402	2439651.711
403	2438435.572
404	2438385.049
405	2438104.435
406	2438012.458
407	2437903.216
408	2436904.258
409	2436760.168
410	2436664.953
411	2435770.578
412	2433635.509
413	2433543.506
414	2431436.978
415	2431202.206
416	2431031.846
417	2429657.76
418	2429359.982
419	2429330.895
420	2428391.576
421	2427280.53
422	2427112.159
423	2426920.704
424	2426684.515
425	2426426.333
426	2426167.237
427	2425959.59
428	2424169.618
429	2424066.697
430	2423736.49
431	2422934.678
432	2422655.743
433	2422524.324
434	2422353.704
435	2422223.013
436	2422148.238
437	2421968.781
438	2421700.95
439	2421485.136
440	2421359.54
441	2421269.537
442	2421220.807
443	2421201.801
444	2420714.386
445	2420669.726
446	2420644.374
447	2420263.455
448	2420048.983
449	2419923.539
450	2419788.457
451	2419164.507
452	2419002.385
453	2418359.912
454	2417841.988
455	2417787.353
456	2417729.156
457	2417406.774
458	2417320.661
459	2417062.727
460	2416997.116
461	2416840.555
462	2416718.496
463	2416593.268
464	2416492.547
465	2416409.098
466	2416360.041
467	2416016.902
468	2415898.098
469	2415784.479
470	2415649.042
471	2415384.607
472	2415292.287
473	2415103.104
474	2415079.831
475	2415017.454
476	2413630.725
477	2413484.147
478	2413353.471
479	2413278.384
480	2413002.635
481	2411555.418
482	2411402.48
483	2411341.65
484	2410432.421
485	2410105.746
486	2409914.608
487	2409811.668
488	2409588.602
489	2409387.863
490	2409243.627
491	2408459.172
492	2408373.204
493	2407401.568
494	2407304.339
495	2406268.24
496	2406159.926
497	2406126.768
498	2405948.243
499	2405907.85
500	2405594.673
501	2405522.673
502	2405384.349
503	2405324.218
504	2405089.669
505	2405028.751
506	2404742.539
507	2404531.903
508	2404199.99
509	2404033.05
510	2403894.883
511	2403470.135
512	2403386.446
513	2402935.532
514	2402802.182
515	2402623.101
516	2402567.702
517	2402381.662
518	2402270.565
519	2402238.816
520	2402144.947
521	2401833.086
522	2401678.843
523	2401644.501
524	2401003.154
525	2400849.94
526	2400703.27
527	2399852.77
528	2399796.545
529	2399620.686
530	2399507.456
531	2399029.685
532	2398873.81
533	2398586.307
534	2398477.651
535	2398403.597
536	2398348.902
537	2398280.442
538	2398172
539	2398030.129
540	2397918.088
541	2397745.765
542	2397647.165
543	2397459.539
544	2397343.974
545	2397205.997
546	2396806.301
547	2396604.83
548	2396386.769
549	2396304.131
550	2396206.721
551	2395972.386
552	2395835.292
553	2395674.85
554	2395603.019
555	2395504.312
556	2394938.01
557	2394789.603
558	2394501.155
559	2394444.915
560	2394359.682
561	2394278.279
562	2394213.144
563	2394130.875
564	2394067.492
565	2393492.862
566	2393470.973
567	2393416.961
568	2393297.485
569	2393198.801
570	2393066.207
571	2392699.193
572	2392648.516
573	2391862.122
574	2391746.197
575	2391674.799
576	2391569.749
577	2391465.907
578	2391397.645
579	2391192.372
580	2391116.444
581	2391020.347
582	2390903.549
583	2390746.493
584	2390676.704
585	2390632.442
586	2390561.209
587	2390239.093
588	2390194.549
589	2389643.52
590	2389524.131
591	2389361.388
592	2389315.67
593	2389241.246
594	2387546.423
595	2387430.41
596	2387344.925
597	2387147.422
598	2387084.251
599	2386973.234
600	2386900.577
601	2386675.544
602	2386541.891
603	2386428.884
604	2386352.917
605	2386092.107
606	2385964.66
607	2383969.649
608	2383919.93
609	2383792.292
610	2383712.326
611	2383368.857
612	2383140.865
613	2382741.169
614	2382658.048
615	2382545.12
616	2382418.312
617	2382214.523
618	2382167.01
619	2382074.544
620	2382015.707
621	2381964.893
622	2381848.121
623	2381801.154
624	2380584.235
625	2380505.595
626	2380444.407
627	2380321.287
628	2380125.008
629	2379614.399
630	2379570.253
631	2379479.585
632	2378927.487
633	2378800.424
634	2378685.538
635	2378579.694
636	2378565.079
637	2378225.748
638	2378096.143
639	2378050.153
640	2378038.01
641	2376653.983
642	2376561.083
643	2376438.621
644	2376333.631
645	2375754.134
646	2374306.04
647	2374273.86
648	2374192.33
649	2374121.634
650	2374093.953
651	2373744.531
652	2373666.828
653	2373646.704
654	2373546.791
655	2372876.291
656	2372525.117
657	2372397.494
658	2372284.546
659	2371202.114
660	2371040.974
661	2371003.038
662	2370780.513
663	2370710.005
664	2370637.306
665	2370626.77
666	2370469.836
667	2369867.631
668	2369793.799
669	2369468.157
670	2369427.85
671	2369339.675
672	2369211.366
673	2369145.929
674	2369053.932
675	2369004.499
676	2368962.517
677	2368862.08
678	2368797.308
679	2368611.348
680	2367680.085
681	2367613.631
682	2367537.411
683	2367428.986
684	2367291.373
685	2367163.345
686	2366941.266
687	2366878.658
688	2366741.978
689	2366661.438
690	2366524.791
691	2366451.004
692	2366342.387
693	2366274.839
694	2366205.962
695	2366155.715
696	2366126.723
697	2366071.219
698	2366036.01
699	2365891.704
700	2365688.524
701	2365591.304
702	2365560.82
703	2364957.214
704	2364898.236
705	2364575.924
706	2364508.657
707	2364302.959
708	2364268.457
709	2363798.378
710	2363674.565
711	2363584.624
712	2363534.327
713	2363427.353
714	2363325.865
715	2363094.067
716	2362971.893
717	2362705.049
718	2362638.269
719	2362428.621
720	2362396.377
721	2362166.594
722	2362112.349
723	2361980.343
724	2361071.874
725	2361029.037
726	2360823.369
727	2360786.579
728	2360686.976
729	2360618.211
730	2359736.008
731	2359649.884
732	2359156.463
733	2359078.804
734	2358989.754
735	2358781.896
736	2358435.068
737	2358170.671
738	2357954.538
739	2357781.537
740	2357725.288
741	2357091.435
742	2356968.925
743	2356871.782
744	2356779.114
745	2356758.914
746	2355880.994
747	2355826.962
748	2355782.215
749	2355762.527
750	2355645.093
751	2355621.939
752	2355575.768
753	2355247.265
754	2355082.384
755	2355041.286
756	2354961.232
757	2354841.82
758	2354757.497
759	2354705.06
760	2354560.379
761	2354482.161
762	2354398.787
763	2354349.634
764	2354304.789
765	2354061.49
766	2353924.603
767	2353811.536
768	2353730.644
769	2353685.628
770	2353646.084
771	2353535.828
772	2353482.249
773	2353470.22
774	2353446.405
775	2353389.693
776	2353324.065
777	2353182.759
778	2352956.316
779	2352606.087
780	2352563.972
781	2352518.182
782	2352435.777
783	2352205.955
784	2352103.19
785	2352054.417
786	2351681.875
787	2351559.689
788	2351541.257
789	2351470.715
790	2351392.04
791	2351243.204
792	2351201.463
793	2351094.286
794	2351000.558
795	2350588.153
796	2350390.118
797	2349922.49
798	2349868.569
799	2349835.748
800	2349722.74
801	2349567.464
802	2348988.468
803	2348967.402
804	2348930.872
805	2348890.412
806	2348781.857
807	2348645.128
808	2348622.022
809	2348324.049
810	2348275.969
811	2348089.309
812	2347986.118
813	2347931.275
814	2347753.461
815	2347657.139
816	2347535.617
817	2347495.875
818	2347480.371
819	2347412.266
820	2347336.43
821	2347227.179
822	2347180.952
823	2347103.745
824	2347083.06
825	2347037.362
826	2347002.385
827	2346959.123
828	2346892.867
829	2346850.612
830	2346810.897
831	2346563.275
832	2346492.61
833	2346449.11
834	2346318.986
835	2346214.386
836	2346095.561
837	2346079.297
838	2345842.073
839	2345638.094
840	2345528.868
841	2345356.39
842	2345098.491
843	2345051.884
844	2344966.809
845	2344804.755
846	2344315.264
847	2344238.168
848	2344093.638
849	2343983.85
850	2343962.661
851	2343933.323
852	2343854.496
853	2343832.487
854	2343777.091
855	2343737.107
856	2343296.609
857	2343270.966
858	2343038.455
859	2342939.699
860	2342760.514
861	2342624.783
862	2342597.805
863	2342554.579
864	2342487.664
865	2342319.064
866	2342150.38
867	2342061.391
868	2342003.673
869	2341939.028
870	2341850.108
871	2341732.727
872	2341663.96
873	2341629.118
874	2341599.325
875	2341443.521
876	2341272.62
877	2341257.029
878	2340994.455
879	2340978.328
880	2340705.911
881	2340688.103
882	2340646.371
883	2340568.293
884	2340508.309
885	2340475.353
886	2340430.72
887	2339190.472
888	2339023.384
889	2338991.528
890	2338873.79
891	2338859.274
892	2338606.404
893	2338486.873
894	2338446.492
895	2338365.881
896	2338130.414
897	2337693.815
898	2337615.487
899	2337597.88
900	2337553.496
901	2337077.102
902	2337038.333
903	2336284.687
904	2336248.264
905	2336066.425
906	2335980.787
907	2335950.621
908	2335933.292
909	2335866.524
910	2335620.314
911	2335612.332
912	2335532.982
913	2335454.119
914	2335404.564
915	2335047.256
916	2335019.213
917	2334999.16
918	2334920.098
919	2334761.921
920	2334686.259
921	2334457.065
922	2334185.334
923	2334098.919
924	2334087.995
925	2334036.848
926	2333271.841
927	2332706.802
928	2332685.161
929	2332669.341
930	2332496.386
931	2332063.915
932	2331900.385
933	2331808.25
934	2331779.667
935	2331677.716
936	2331538.687
937	2331431.675
938	2331387.595
939	2331350.559
940	2331273.816
941	2330974.309
942	2330945.333
943	2330848.946
944	2330827.266
945	2330586.513
946	2330528.003
947	2330443.931
948	2330328.9
949	2330225.249
950	2330136.478
951	2330084.759
952	2329993.376
953	2329971.074
954	2329911.271
955	2329879.05
956	2329753.467
957	2329731.938
958	2329705.036
959	2329679.024
960	2329546.753
961	2329518.992
962	2329453.299
963	2329382.304
964	2329322.24
965	2329269.524
966	2329223.719
967	2329161.835
968	2328963.61
969	2328831.293
970	2328556.764
971	2328519.698
972	2328449.079
973	2328423.941
974	2328324.377
975	2328275.389
976	2328243.94
977	2328225.097
978	2328185.492
979	2328157.408
980	2328107.466
981	2328013.701
982	2327971.088
983	2327953.471
984	2327903.607
985	2327893.867
986	2327760.547
987	2327725.972
988	2327673.209
989	2327598.406
990	2327564.582
991	2327502.62
992	2327473.705
993	2327442.47
994	2327399.676
995	2327375.335
996	2327338.931
997	2327281.078
998	2326870.538
999	2326775.412
1000	2326657.841
1001	2326646.619
1002	2326498.257
1003	2326436.983
1004	2326417.066
1005	2326378.286
1006	2325899.294
1007	2325630.507
1008	2325573.667
1009	2325081.258
1010	2325002.058
1011	2324925.284
1012	2324908.979
1013	2324877.024
1014	2324787.625
1015	2324765.582
1016	2324729.011
1017	2324369.508
1018	2324345.347
1019	2324132.017
