iter	Passed	Remaining
0	171	343533
1	290	290216
2	412	274811
3	521	260212
4	633	252568
5	753	250372
6	917	261217
7	1062	264675
8	1195	264385
9	1313	261351
10	1433	259121
11	1571	260374
12	1714	262084
13	1850	262453
14	1983	262533
15	2180	270392
16	2422	282612
17	2600	286324
18	2726	284315
19	2838	280970
20	2952	278204
21	3088	277679
22	3218	276649
23	3333	274478
24	3441	271915
25	3557	270103
26	3669	268138
27	3790	266954
28	3902	265236
29	4025	264347
30	4142	263138
31	4250	261401
32	4356	259691
33	4468	258368
34	4583	257327
35	4704	256640
36	4822	255855
37	4937	254942
38	5054	254138
39	5173	253505
40	5292	252891
41	5402	251847
42	5498	250262
43	5598	248893
44	5703	247772
45	5797	246286
46	5903	245304
47	6006	244262
48	6105	243091
49	6205	241995
50	6307	241059
51	6398	239714
52	6496	238666
53	6597	237759
54	6702	237010
55	6816	236639
56	6911	235611
57	7008	234654
58	7102	233654
59	7193	232591
60	7285	231594
61	7380	230705
62	7474	229822
63	7567	228922
64	7661	228091
65	7752	227174
66	7838	226147
67	7929	225279
68	8030	224728
69	8122	223955
70	8217	223259
71	8298	222221
72	8386	221392
73	8481	220758
74	8573	220047
75	8656	219144
76	8743	218360
77	8833	217664
78	8912	216709
79	8995	215894
80	9088	215320
81	9172	214543
82	9256	213785
83	9349	213252
84	9439	212670
85	9526	212014
86	9611	211346
87	9703	210827
88	9783	210078
89	9865	209361
90	9944	208622
91	10026	207941
92	10106	207238
93	10191	206648
94	10268	205919
95	10346	205212
96	10446	204935
97	10542	204608
98	10636	204249
99	10728	203835
100	10816	203380
101	10889	202621
102	10964	201945
103	11052	201489
104	11125	200792
105	11215	200405
106	11295	199841
107	11383	199429
108	11465	198916
109	11550	198454
110	11634	197999
111	11743	197954
112	11842	197757
113	11936	197478
114	12026	197131
115	12120	196857
116	12207	196472
117	12292	196056
118	12387	195805
119	12473	195425
120	12558	195025
121	12636	194521
122	12724	194178
123	12812	193841
124	12910	193654
125	13002	193389
126	13099	193194
127	13191	192927
128	13289	192742
129	13373	192374
130	13465	192112
131	13553	191806
132	13655	191691
133	13751	191488
134	13855	191413
135	13951	191212
136	14043	190965
137	14130	190653
138	14230	190528
139	14322	190284
140	14413	190038
141	14511	189878
142	14596	189554
143	14694	189390
144	14795	189276
145	14890	189083
146	14992	188983
147	15090	188839
148	15199	188817
149	15325	189019
150	15435	189009
151	15581	189434
152	15697	189493
153	15805	189465
154	15899	189255
155	15997	189103
156	16088	188859
157	16190	188749
158	16275	188449
159	16372	188282
160	16461	188033
161	16572	188031
162	16691	188109
163	16806	188150
164	16901	187961
165	17002	187850
166	17113	187840
167	17206	187629
168	17296	187392
169	17404	187350
170	17508	187266
171	17604	187099
172	17701	186940
173	17795	186746
174	17899	186662
175	18004	186589
176	18100	186428
177	18218	186481
178	18338	186557
179	18444	186498
180	18552	186446
181	18656	186355
182	18774	186412
183	18875	186290
184	18952	185942
185	19044	185732
186	19146	185632
187	19250	185546
188	19351	185427
189	19451	185305
190	19560	185265
